region,year,household_savings,gdp,household_debt
Australia,2000,2.03939014914625,28249.377533,125.2092
Australia,2001,3.3266120117092504,29474.974238,130.5223
Australia,2002,-0.998092199575326,30740.962902999996,150.0406
Australia,2003,-0.06967566777520401,32245.447585,161.5096
Australia,2004,1.1203804307380902,33856.852355,171.8057
Australia,2005,0.320218933826123,35570.808014999995,181.8293
Australia,2006,0.831748667110695,37844.782088,186.9583
Australia,2007,2.5243459270455397,39597.743117,189.7027
Australia,2008,8.87187763509849,40094.833205,183.4667
Australia,2009,6.82404795621434,41615.326657,189.4346
Australia,2010,8.35143370298683,42787.358539,187.3372
Australia,2011,8.83715380463631,44419.309749,185.9569
Australia,2012,7.481714639994099,43879.180355000004,187.2603
Australia,2013,7.859812410555249,47761.214060000006,187.7718
Australia,2014,7.9522703294417205,47644.762792,191.8578
Australia,2015,6.083489972503999,47304.816745,199.3722
Australia,2016,5.11925642954512,50284.172793,207.3164
Australia,2017,3.83647126470675,51297.139196,213.4635
Australia,2018,3.0340595571666,53700.680893,217.2554
Austria,2000,10.6323620101249,29387.013559,75.41841
Austria,2001,9.022111553481109,29715.497031,77.01186
Austria,2002,9.400174641201891,31178.051444,78.95232
Austria,2003,9.64812925464156,32121.714513,79.08277
Austria,2004,9.52426830502389,33753.625012000004,81.19778000000001
Austria,2005,11.13639539683,35024.557484,87.18607
Austria,2006,11.619636429029901,37619.892106,88.55872
Austria,2007,12.4123757309681,39391.07903,88.36625
Austria,2008,12.3545290786405,41316.022642,89.79839
Austria,2009,11.3985751349722,40966.523911000004,90.11239
Austria,2010,9.59183079078251,42049.248693,93.71614
Austria,2011,7.88123256906157,44469.209642,93.2784
Austria,2012,8.862548009302529,46477.655075,91.04684
Austria,2013,7.113217781174099,47936.677963,90.82967
Austria,2014,7.296401932157691,48813.534409,90.48385999999999
Austria,2015,6.7366648909146605,49955.456118,92.05358000000001
Austria,2016,7.69505833451046,52659.767807,92.12938
Austria,2017,7.3479998466581105,54511.590833,90.92339
Austria,2018,7.6827897501152504,56837.722049,90.42094
Belgium,2000,11.450031394821401,27795.115531,71.44542
Belgium,2001,12.8730581728916,28800.312687999998,67.32359
Belgium,2002,12.452791950122199,30282.254116000004,68.94025
Belgium,2003,11.7697100076919,30899.178668,70.9725
Belgium,2004,10.481607318654401,32034.127911000003,75.30256999999999
Belgium,2005,10.184735710472,33177.947339,80.51897
