region,population,habitable_area
Nigeria,200963599,910770.0
Nicaragua,6545502,120340.0
Netherlands,17332850,33690.0
Norway,5347896,365123.0078125
Nepal,28608710,143350.0
Nauru,12581,20.0
New Zealand,4917000,263310.0
OECD members,1359963500,35585983.61572271
Oman,4974986,309500.0
Other small states,31360407,2031822.99911499
Pakistan,216565318,770880.0
Panama,4246439,74340.0
Peru,32510453,1280000.0
Philippines,108116615,298170.0
Palau,18008,460.0
Papua New Guinea,8776109,452860.0
Poland,37970874,306190.0
Pre-demographic dividend,944902749,17789339.007873498
Puerto Rico,3193694,8870.0
"Korea, Dem. People’s Rep.",25666161,120410.0
Portugal,10269417,91605.595703125
Paraguay,7044636,397300.0
West Bank and Gaza,4685306,6020.0
Pacific island small states,2493696,64200.0
Post-demographic dividend,1112914457,31473668.9923
French Polynesia,279287,3660.0
Qatar,2832067,11610.0
Romania,19356544,230080.0
Russian Federation,144373535,16376870.0
Rwanda,12626950,24670.0
South Asia,1835776742,4771603.99902344
Saudi Arabia,34268528,2149690.0
Sudan,42813238,
Senegal,16296364,192530.0
Singapore,5703569,709.0000152587891
Solomon Islands,669823,27990.0
Sierra Leone,7813215,72180.0
El Salvador,6453553,20720.0
San Marino,33860,60.0
Somalia,15442905,627340.0
Serbia,6944975,87460.0
Sub-Saharan Africa (excluding high income),1105594562,21239871.000060998
South Sudan,11062113,
Sub-Saharan Africa,1106957898,21242361.000060998
Small states,41255484,2500872.99911499
Sao Tome and Principe,215056,960.0
Suriname,581372,156000.0
Slovak Republic,5454073,48080.0
Slovenia,2087946,20141.999511718797
Sweden,10285453,407310.0
Eswatini,1148130,17200.0
Sint Maarten (Dutch part),40733,34.0
Seychelles,97625,460.0
Syrian Arab Republic,17070135,183630.0
Turks and Caicos Islands,38191,950.0
Chad,15946876,1259200.0
East Asia & Pacific (IDA & IBRD countries),2067984156,15793350.0
Europe & Central Asia (IDA & IBRD countries),460799505,22984325.0078125
Togo,8082366,54390.0
Thailand,69625582,510890.0
Tajikistan,9321018,138790.0
Turkmenistan,5942089,469930.0
Latin America & the Caribbean (IDA & IBRD countries),630644770,19913632.03125
Timor-Leste,1293119,14870.0
Middle East & North Africa (IDA & IBRD countries),384771780,8635068.0078125
Tonga,104494,720.0
South Asia (IDA & IBRD),1835776742,4771603.99902344
Sub-Saharan Africa (IDA & IBRD countries),1106957898,21242361.000060998
Trinidad and Tobago,1394973,5130.0
Tunisia,11694719,155360.0
Turkey,83429615,769630.0
Tuvalu,11646,30.0
Tanzania,58005463,885800.0
Uganda,44269594,200520.0
Ukraine,44385155,579290.0
Upper middle income,-2147483648,57551063.015625
Uruguay,3461734,175020.0
United States,328239523,9147420.0
Uzbekistan,33580650,425400.0
St. Vincent and the Grenadines,110589,390.0
"Venezuela, RB",28515829,882050.0
British Virgin Islands,30030,150.0
Virgin Islands (U.S.),106631,350.0
Vietnam,96462106,310070.0
Vanuatu,299882,12190.0
World,-2147483648,127354641.43053201
Samoa,197097,2830.0
Kosovo,1794248,10887.0
"Yemen, Rep.",29161922,527970.0
South Africa,58558270,1213090.0
Zambia,17861030,743390.0
Zimbabwe,14645468,386850.0
